AM CQ
AM PU
AM VP
AN BL
AN BY
AN CH
AN CL
AN CO
AN RI
AN SA
AR BY
AR CS
AR VI
AT BL
AT MA
BG CU
BG HU
BG ME
BL CE
BL CO
BL MA
BL SA
BL SU
BY CL
BY CS
BY CU
BY NS
BY SA
CC CQ
CC HU
CC NA
CC PU
CC TO
CC VC
CE LG
CE MA
CE NS
CE SA
CH RI
CH VC
CL CU
CL RI
CL TO
CO SU
CQ GV
CQ HU
CQ ME
CQ PU
CQ VP
CS ME
CS VI
CU HU
CU ME
CU TO
GN GV
GN VI
GN VP
GV ME
GV VI
GV VP
HU ME
HU TO
LG MA
ME VI
NA PU
NS SA
QU RI
QU TO
QU VC
RI TO
RI VC
TO VC
